Abbreviation,Expansion
API,Application Program Interface
AR,Acceptance Review
CDR,Critical Design Review
DDF,Design Definition File
DJF,Design Justification File
DRD,Document Requirements Definition
DRL,Document Requirements List
EAL,Evaluation Assurance Level
ECSS,European Cooperation for Space Standardization
ESA,European Space Agency
GCC,GNU Compiler Collection
GUI,Graphical User Interface
IDE,Integrated Development Environment
IRTAW,International Real-Time Ada Workshop
ISO,International Organization for Standardization
LSP,Liskov Substitution Principle
MF,Maintenance File
MGT,Management File
OP,Operational Plan
ORR,Operational Readiness Review
PAF,Product Assurance File
PDR,Preliminary Design Review
QR,Qualification Review
RB,Requirements Baseline
RTOS,Real-Time Operating Systems
SRR,System Requirements Review
TQL,Tool Qualification Level
TS,Technical Specification
